,Channel,Light_status,mean_sleep_per_ind,No,Sex,Rep
120,adj_Monitor67_ch16,Day,0.410416666666667,57713,F,1
121,adj_Monitor77_ch16,Day,0.490740740740741,64498,F,1
122,adj_Monitor56_ch26,Day,0.534259259259259,62872,M,1
123,adj_Monitor1_ch17,Day,0.895601851851852,67422,M,1
124,adj_Monitor58_ch20,Day,0.221527777777778,62872,F,1
125,adj_Monitor67_ch25,Day,0.413194444444444,57713,F,1
126,adj_Monitor60_ch4,Day,0.715046296296296,66945,M,1
127,adj_Monitor58_ch21,Day,0.281712962962963,62872,F,1
128,adj_Monitor54_ch29,Day,0.386805555555556,82983,F,1
129,adj_Monitor6_ch28,Day,0.616898148148148,53328,F,1
130,adj_Monitor22_ch17,Day,0.680324074074074,64498,M,1
131,adj_Monitor77_ch32,Day,0.341898148148148,64498,F,1
132,adj_Monitor73_ch24,Day,0.558101851851852,57380,F,1
133,adj_Monitor56_ch32,Day,0.636805555555556,62872,M,1
134,adj_Monitor54_ch18,Day,0.47037037037037,82983,F,1
135,adj_Monitor58_ch27,Day,0.499305555555556,62872,F,1
136,adj_Monitor58_ch1,Day,0.342592592592593,62872,F,1
137,adj_Monitor58_ch14,Day,0.510416666666667,62872,F,1
138,adj_Monitor18_ch24,Day,0.786342592592593,80387,M,1
140,adj_Monitor77_ch25,Day,0.622916666666667,64498,F,1
141,adj_Monitor7_ch15,Day,0.502777777777778,TRiPsc,F,1
142,adj_Monitor16_ch19,Day,0.668981481481482,67422,F,1
143,adj_Monitor54_ch2,Day,0.721759259259259,82983,F,1
144,adj_Monitor60_ch10,Day,0.803703703703704,66945,M,1
145,adj_Monitor75_ch5,Day,0.632175925925926,55690,M,1
146,adj_Monitor59_ch18,Day,0.740277777777778,55690,F,1
147,adj_Monitor22_ch16,Day,0.527777777777778,64498,M,1
148,adj_Monitor5_ch15,Day,0.651851851851852,80387,F,1
149,adj_Monitor54_ch12,Day,0.424074074074074,82983,F,1
150,adj_Monitor8_ch20,Day,0.676157407407407,56014,M,1
151,adj_Monitor1_ch21,Day,0.859027777777778,67422,M,1
152,adj_Monitor8_ch13,Day,0.541435185185185,56014,M,1
153,adj_Monitor2_ch28,Day,0.731481481481482,53328,M,1
154,adj_Monitor73_ch17,Day,0.621990740740741,57380,F,1
155,adj_Monitor5_ch26,Day,0.605092592592593,80387,F,1
156,adj_Monitor18_ch3,Day,0.546064814814815,80387,M,1
157,adj_Monitor6_ch27,Day,0.396527777777778,53328,F,1
158,adj_Monitor73_ch21,Day,0.531944444444444,57380,F,1
159,adj_Monitor20_ch4,Day,0.720138888888889,57713,M,1
160,adj_Monitor63_ch32,Day,0.39837962962963,56014,F,1
161,adj_Monitor67_ch5,Day,0.441898148148148,57713,F,1
162,adj_Monitor67_ch29,Day,0.483333333333333,57713,F,1
163,adj_Monitor18_ch12,Day,0.555555555555556,80387,M,1
164,adj_Monitor77_ch3,Day,0.46412037037037,64498,F,1
165,adj_Monitor1_ch15,Day,0.840972222222222,67422,M,1
166,adj_Monitor67_ch1,Day,0.502314814814815,57713,F,1
167,adj_Monitor54_ch16,Day,0.49375,82983,F,1
169,adj_Monitor77_ch27,Day,0.86712962962963,64498,F,1
170,adj_Monitor5_ch24,Day,0.628703703703704,80387,F,1
171,adj_Monitor22_ch21,Day,0.54837962962963,64498,M,1
172,adj_Monitor58_ch19,Day,0.386574074074074,62872,F,1
173,adj_Monitor75_ch7,Day,0.547685185185185,55690,M,1
174,adj_Monitor1_ch2,Day,0.785416666666667,67422,M,1
175,adj_Monitor15_ch1,Day,0.546759259259259,57380,M,1
176,adj_Monitor67_ch13,Day,0.567592592592593,57713,F,1
177,adj_Monitor17_ch14,Day,0.791203703703704,82983,M,1
178,adj_Monitor54_ch7,Day,0.615277777777778,82983,F,1
179,adj_Monitor54_ch3,Day,0.586805555555556,82983,F,1
180,adj_Monitor20_ch30,Day,0.788888888888889,57713,M,1
