,Channel,bout_length,No,Sex,Rep
280,adj_Monitor1_ch23,8.045454545454545,67422,M,1
282,adj_Monitor1_ch24,7.54054054054054,67422,M,1
284,adj_Monitor1_ch25,9.0,67422,M,1
286,adj_Monitor1_ch26,7.725,67422,M,1
288,adj_Monitor1_ch27,9.625,67422,M,1
290,adj_Monitor1_ch28,9.675,67422,M,1
292,adj_Monitor1_ch29,8.904761904761905,67422,M,1
294,adj_Monitor1_ch3,10.431034482758621,67422,M,1
296,adj_Monitor1_ch30,9.340909090909092,67422,M,1
298,adj_Monitor1_ch31,11.595238095238095,67422,M,1
300,adj_Monitor1_ch32,12.204545454545455,67422,M,1
302,adj_Monitor1_ch4,8.130434782608695,67422,M,1
304,adj_Monitor1_ch5,8.12280701754386,67422,M,1
306,adj_Monitor1_ch6,10.114285714285714,67422,M,1
308,adj_Monitor1_ch7,10.088888888888889,67422,M,1
310,adj_Monitor1_ch8,9.266666666666667,67422,M,1
312,adj_Monitor1_ch9,8.88888888888889,67422,M,1
314,adj_Monitor20_ch1,17.45,57713,M,1
316,adj_Monitor20_ch10,7.315789473684211,57713,M,1
318,adj_Monitor20_ch11,8.941176470588236,57713,M,1
320,adj_Monitor20_ch12,9.636363636363637,57713,M,1
322,adj_Monitor20_ch13,10.434782608695652,57713,M,1
324,adj_Monitor20_ch14,10.88888888888889,57713,M,1
326,adj_Monitor20_ch15,13.047619047619047,57713,M,1
328,adj_Monitor20_ch16,51.5,57713,M,1
330,adj_Monitor20_ch17,21.204545454545453,57713,M,1
332,adj_Monitor20_ch18,39.54545454545455,57713,M,1
334,adj_Monitor20_ch19,8.291666666666666,57713,M,1
336,adj_Monitor20_ch2,20.35483870967742,57713,M,1
338,adj_Monitor20_ch20,8.837837837837839,57713,M,1
340,adj_Monitor20_ch21,8.6875,57713,M,1
342,adj_Monitor20_ch22,10.878048780487806,57713,M,1
344,adj_Monitor20_ch23,9.228070175438596,57713,M,1
346,adj_Monitor20_ch24,15.745762711864407,57713,M,1
348,adj_Monitor20_ch25,9.88888888888889,57713,M,1
350,adj_Monitor20_ch26,20.6,57713,M,1
352,adj_Monitor20_ch27,20.15,57713,M,1
354,adj_Monitor20_ch29,9.9,57713,M,1
356,adj_Monitor20_ch3,11.886363636363637,57713,M,1
358,adj_Monitor20_ch30,6.695652173913044,57713,M,1
360,adj_Monitor20_ch31,6.055555555555555,57713,M,1
362,adj_Monitor20_ch32,13.73913043478261,57713,M,1
364,adj_Monitor20_ch4,19.53125,57713,M,1
366,adj_Monitor20_ch5,22.814814814814813,57713,M,1
368,adj_Monitor20_ch6,12.789473684210526,57713,M,1
370,adj_Monitor20_ch7,13.677083333333334,57713,M,1
372,adj_Monitor20_ch8,6.980582524271845,57713,M,1
374,adj_Monitor20_ch9,8.352941176470589,57713,M,1
376,adj_Monitor22_ch1,13.88888888888889,64498,M,1
378,adj_Monitor22_ch10,7.901960784313726,64498,M,1
380,adj_Monitor22_ch11,9.035714285714286,64498,M,1
382,adj_Monitor22_ch12,12.235294117647058,64498,M,1
384,adj_Monitor22_ch13,8.608695652173912,64498,M,1
386,adj_Monitor22_ch14,11.928571428571429,64498,M,1
388,adj_Monitor22_ch15,9.3,64498,M,1
390,adj_Monitor22_ch16,7.583333333333333,64498,M,1
392,adj_Monitor22_ch17,7.333333333333333,64498,M,1
394,adj_Monitor22_ch18,7.314285714285714,64498,M,1
396,adj_Monitor22_ch19,7.439024390243903,64498,M,1
398,adj_Monitor22_ch2,9.916666666666666,64498,M,1
400,adj_Monitor22_ch20,6.555555555555555,64498,M,1
402,adj_Monitor22_ch21,10.48,64498,M,1
404,adj_Monitor22_ch22,7.879518072289157,64498,M,1
406,adj_Monitor22_ch23,11.222222222222221,64498,M,1
408,adj_Monitor22_ch24,8.842105263157896,64498,M,1
410,adj_Monitor22_ch25,9.058823529411764,64498,M,1
412,adj_Monitor22_ch26,8.818181818181818,64498,M,1
414,adj_Monitor22_ch27,6.836734693877551,64498,M,1
416,adj_Monitor22_ch28,8.0,64498,M,1
418,adj_Monitor22_ch29,9.333333333333334,64498,M,1
420,adj_Monitor22_ch3,7.735294117647059,64498,M,1
422,adj_Monitor22_ch30,9.285714285714286,64498,M,1
424,adj_Monitor22_ch31,10.0,64498,M,1
426,adj_Monitor22_ch32,9.097222222222221,64498,M,1
428,adj_Monitor22_ch4,8.487804878048781,64498,M,1
430,adj_Monitor22_ch5,7.739130434782608,64498,M,1
432,adj_Monitor22_ch6,7.0638297872340425,64498,M,1
434,adj_Monitor22_ch7,10.378378378378379,64498,M,1
436,adj_Monitor22_ch8,14.08695652173913,64498,M,1
438,adj_Monitor22_ch9,8.473684210526315,64498,M,1
440,adj_Monitor24_ch1,13.05,TRiPsc,M,1
