,Channel,Activity,No,Sex,Rep
650,adj_Monitor56_ch2,723.3333333333334,62872,M,1
664,adj_Monitor56_ch26,719.0,62872,M,1
1380,adj_Monitor7_ch10,718.1666666666666,TRiPsc,F,1
960,adj_Monitor63_ch2,717.6666666666666,56014,F,1
692,adj_Monitor58_ch1,713.0,62872,F,1
1358,adj_Monitor77_ch3,706.5,64498,F,1
660,adj_Monitor56_ch24,705.8333333333334,62872,M,1
74,adj_Monitor16_ch14,705.5,67422,F,1
1112,adj_Monitor6_ch31,704.6666666666666,53328,F,1
390,adj_Monitor22_ch16,704.5,64498,M,1
378,adj_Monitor22_ch10,703.6666666666666,64498,M,1
1020,adj_Monitor67_ch18,703.1666666666666,57713,F,1
436,adj_Monitor22_ch8,702.6666666666666,64498,M,1
700,adj_Monitor58_ch13,700.1666666666666,62872,F,1
722,adj_Monitor58_ch23,700.0,62872,F,1
598,adj_Monitor54_ch25,696.8333333333334,82983,F,1
574,adj_Monitor54_ch14,696.6666666666666,82983,F,1
724,adj_Monitor58_ch24,694.6666666666666,62872,F,1
82,adj_Monitor16_ch18,694.5,67422,F,1
640,adj_Monitor56_ch15,693.5,62872,M,1
144,adj_Monitor17_ch17,689.3333333333334,82983,M,1
750,adj_Monitor58_ch8,689.0,62872,F,1
606,adj_Monitor54_ch29,688.0,82983,F,1
442,adj_Monitor24_ch10,687.5,TRiPsc,M,1
370,adj_Monitor20_ch7,683.8333333333334,57713,M,1
500,adj_Monitor24_ch9,682.8333333333334,TRiPsc,M,1
876,adj_Monitor60_ch1,681.6666666666666,66945,M,1
1058,adj_Monitor67_ch6,680.3333333333334,57713,F,1
626,adj_Monitor54_ch9,675.3333333333334,82983,F,1
1110,adj_Monitor6_ch30,674.6666666666666,53328,F,1
412,adj_Monitor22_ch26,672.6666666666666,64498,M,1
388,adj_Monitor22_ch15,672.6666666666666,64498,M,1
752,adj_Monitor58_ch9,671.1666666666666,62872,F,1
256,adj_Monitor1_ch12,669.3333333333334,67422,M,1
116,adj_Monitor16_ch4,669.1666666666666,67422,F,1
174,adj_Monitor17_ch31,667.5,82983,M,1
1188,adj_Monitor72_ch8,666.0,66945,F,1
630,adj_Monitor56_ch10,662.1666666666666,62872,M,1
766,adj_Monitor59_ch17,661.6666666666666,55690,F,1
1206,adj_Monitor73_ch16,660.6666666666666,57380,F,1
1182,adj_Monitor72_ch5,660.0,66945,F,1
994,adj_Monitor63_ch6,658.6666666666666,56014,F,1
644,adj_Monitor56_ch17,658.0,62872,M,1
546,adj_Monitor2_ch30,656.8333333333334,53328,M,1
608,adj_Monitor54_ch3,655.8333333333334,82983,F,1
366,adj_Monitor20_ch5,655.0,57713,M,1
1354,adj_Monitor77_ch28,654.6666666666666,64498,F,1
736,adj_Monitor58_ch3,654.6666666666666,62872,F,1
420,adj_Monitor22_ch3,654.5,64498,M,1
812,adj_Monitor59_ch9,652.8333333333334,55690,F,1
1368,adj_Monitor77_ch5,652.6666666666666,64498,F,1
1394,adj_Monitor7_ch17,652.5,TRiPsc,F,1
580,adj_Monitor54_ch17,651.6666666666666,82983,F,1
1336,adj_Monitor77_ch2,651.5,64498,F,1
1018,adj_Monitor67_ch17,650.6666666666666,57713,F,1
1344,adj_Monitor77_ch23,650.0,64498,F,1
1326,adj_Monitor77_ch15,645.1666666666666,64498,F,1
1062,adj_Monitor67_ch8,644.8333333333334,57713,F,1
760,adj_Monitor59_ch12,640.8333333333334,55690,F,1
1486,adj_Monitor8_ch3,640.6666666666666,56014,M,1
158,adj_Monitor17_ch24,639.6666666666666,82983,M,1
160,adj_Monitor17_ch25,637.5,82983,M,1
1164,adj_Monitor72_ch26,637.1666666666666,66945,F,1
130,adj_Monitor17_ch10,636.8333333333334,82983,M,1
1160,adj_Monitor72_ch24,635.8333333333334,66945,F,1
570,adj_Monitor54_ch12,631.5,82983,F,1
1044,adj_Monitor67_ch29,630.1666666666666,57713,F,1
1248,adj_Monitor73_ch6,629.8333333333334,57380,F,1
1196,adj_Monitor73_ch11,629.1666666666666,57380,F,1
566,adj_Monitor54_ch10,628.5,82983,F,1
