,Channel,bout_length,No,Sex,Rep
830,adj_Monitor5_ch17,85.77027027027027,80387,F,1
832,adj_Monitor5_ch18,65.74757281553399,80387,F,1
834,adj_Monitor5_ch19,47.8515625,80387,F,1
836,adj_Monitor5_ch2,59.585585585585584,80387,F,1
838,adj_Monitor5_ch20,66.41573033707866,80387,F,1
840,adj_Monitor5_ch21,41.20645161290322,80387,F,1
842,adj_Monitor5_ch22,205.81578947368422,80387,F,1
844,adj_Monitor5_ch23,78.0506329113924,80387,F,1
846,adj_Monitor5_ch24,61.81372549019608,80387,F,1
848,adj_Monitor5_ch25,68.95238095238095,80387,F,1
850,adj_Monitor5_ch26,69.31460674157303,80387,F,1
852,adj_Monitor5_ch27,48.85245901639344,80387,F,1
854,adj_Monitor5_ch28,54.232142857142854,80387,F,1
856,adj_Monitor5_ch3,52.47863247863248,80387,F,1
858,adj_Monitor5_ch30,62.515151515151516,80387,F,1
860,adj_Monitor5_ch31,49.71186440677966,80387,F,1
862,adj_Monitor5_ch32,50.60952380952381,80387,F,1
864,adj_Monitor5_ch4,75.1264367816092,80387,F,1
866,adj_Monitor5_ch5,54.32142857142857,80387,F,1
868,adj_Monitor5_ch6,48.88034188034188,80387,F,1
870,adj_Monitor5_ch7,29.90751445086705,80387,F,1
872,adj_Monitor5_ch8,95.35211267605634,80387,F,1
874,adj_Monitor5_ch9,75.06666666666666,80387,F,1
876,adj_Monitor60_ch1,90.22727272727273,66945,M,1
878,adj_Monitor60_ch10,102.83823529411765,66945,M,1
880,adj_Monitor60_ch11,77.1829268292683,66945,M,1
882,adj_Monitor60_ch12,67.91578947368421,66945,M,1
884,adj_Monitor60_ch13,56.37837837837838,66945,M,1
886,adj_Monitor60_ch14,92.14473684210526,66945,M,1
888,adj_Monitor60_ch15,71.8953488372093,66945,M,1
890,adj_Monitor60_ch16,78.17045454545455,66945,M,1
892,adj_Monitor60_ch17,89.52564102564102,66945,M,1
894,adj_Monitor60_ch18,78.08536585365853,66945,M,1
896,adj_Monitor60_ch19,65.2,66945,M,1
898,adj_Monitor60_ch2,98.61764705882354,66945,M,1
900,adj_Monitor60_ch20,117.03571428571429,66945,M,1
