,Channel,Bout_Count,No,Sex,Rep
174199,adj_Monitor77_ch4,18.0,64498,F,1
174633,adj_Monitor77_ch5,10.833333333333334,64498,F,1
174893,adj_Monitor77_ch6,15.166666666666666,64498,F,1
175225,adj_Monitor77_ch7,13.333333333333334,64498,F,1
175495,adj_Monitor77_ch8,14.5,64498,F,1
175797,adj_Monitor77_ch9,12.666666666666666,64498,F,1
176077,adj_Monitor7_ch1,9.5,TRiPsc,F,1
176217,adj_Monitor7_ch10,17.666666666666668,TRiPsc,F,1
176501,adj_Monitor7_ch11,11.333333333333334,TRiPsc,F,1
176715,adj_Monitor7_ch12,7.833333333333333,TRiPsc,F,1
176875,adj_Monitor7_ch13,12.833333333333334,TRiPsc,F,1
177119,adj_Monitor7_ch14,14.0,TRiPsc,F,1
177393,adj_Monitor7_ch15,11.333333333333334,TRiPsc,F,1
177621,adj_Monitor7_ch16,15.5,TRiPsc,F,1
177909,adj_Monitor7_ch17,19.666666666666668,TRiPsc,F,1
178309,adj_Monitor7_ch18,21.0,TRiPsc,F,1
178654,adj_Monitor7_ch19,14.833333333333334,TRiPsc,F,1
178903,adj_Monitor7_ch2,13.833333333333334,TRiPsc,F,1
179171,adj_Monitor7_ch20,16.166666666666668,TRiPsc,F,1
179471,adj_Monitor7_ch21,16.333333333333332,TRiPsc,F,1
179781,adj_Monitor7_ch22,13.833333333333334,TRiPsc,F,1
180023,adj_Monitor7_ch23,16.5,TRiPsc,F,1
180335,adj_Monitor7_ch24,13.0,TRiPsc,F,1
180553,adj_Monitor7_ch25,17.333333333333332,TRiPsc,F,1
180857,adj_Monitor7_ch26,16.666666666666668,TRiPsc,F,1
181160,adj_Monitor7_ch27,9.166666666666666,TRiPsc,F,1
181363,adj_Monitor7_ch28,12.166666666666666,TRiPsc,F,1
181575,adj_Monitor7_ch29,17.0,TRiPsc,F,1
181943,adj_Monitor7_ch3,15.5,TRiPsc,F,1
182227,adj_Monitor7_ch30,18.166666666666668,TRiPsc,F,1
182557,adj_Monitor7_ch31,14.666666666666666,TRiPsc,F,1
182837,adj_Monitor7_ch32,13.833333333333334,TRiPsc,F,1
183079,adj_Monitor7_ch4,16.5,TRiPsc,F,1
183381,adj_Monitor7_ch5,17.0,TRiPsc,F,1
183739,adj_Monitor7_ch6,12.0,TRiPsc,F,1
183987,adj_Monitor7_ch7,17.166666666666668,TRiPsc,F,1
184283,adj_Monitor7_ch8,8.333333333333334,TRiPsc,F,1
184445,adj_Monitor7_ch9,15.166666666666666,TRiPsc,F,1
184757,adj_Monitor8_ch1,14.833333333333334,56014,M,1
185067,adj_Monitor8_ch10,16.166666666666668,56014,M,1
185382,adj_Monitor8_ch11,16.166666666666668,56014,M,1
185653,adj_Monitor8_ch12,19.333333333333332,56014,M,1
185987,adj_Monitor8_ch13,19.5,56014,M,1
186303,adj_Monitor8_ch14,15.166666666666666,56014,M,1
186561,adj_Monitor8_ch15,12.0,56014,M,1
186779,adj_Monitor8_ch16,14.833333333333334,56014,M,1
187015,adj_Monitor8_ch17,22.166666666666668,56014,M,1
187395,adj_Monitor8_ch18,16.666666666666668,56014,M,1
187733,adj_Monitor8_ch19,12.0,56014,M,1
187921,adj_Monitor8_ch2,15.833333333333334,56014,M,1
188161,adj_Monitor8_ch20,14.833333333333334,56014,M,1
188373,adj_Monitor8_ch21,14.833333333333334,56014,M,1
188657,adj_Monitor8_ch22,12.0,56014,M,1
188851,adj_Monitor8_ch23,17.166666666666668,56014,M,1
189119,adj_Monitor8_ch24,16.833333333333332,56014,M,1
189379,adj_Monitor8_ch25,11.0,56014,M,1
189583,adj_Monitor8_ch26,18.666666666666668,56014,M,1
189873,adj_Monitor8_ch27,13.0,56014,M,1
190093,adj_Monitor8_ch28,16.833333333333332,56014,M,1
190369,adj_Monitor8_ch29,15.5,56014,M,1
190603,adj_Monitor8_ch3,14.166666666666666,56014,M,1
190865,adj_Monitor8_ch30,13.833333333333334,56014,M,1
191101,adj_Monitor8_ch31,15.666666666666666,56014,M,1
191365,adj_Monitor8_ch32,12.666666666666666,56014,M,1
191571,adj_Monitor8_ch4,17.166666666666668,56014,M,1
191869,adj_Monitor8_ch5,25.0,56014,M,1
192275,adj_Monitor8_ch6,16.166666666666668,56014,M,1
192547,adj_Monitor8_ch7,13.166666666666666,56014,M,1
192767,adj_Monitor8_ch8,17.5,56014,M,1
193051,adj_Monitor8_ch9,16.833333333333332,56014,M,1
