,Channel,bout_length,No,Sex,Rep
70,adj_Monitor16_ch12,41.5625,67422,F,1
72,adj_Monitor16_ch13,38.56164383561644,67422,F,1
74,adj_Monitor16_ch14,25.560606060606062,67422,F,1
76,adj_Monitor16_ch15,28.09722222222222,67422,F,1
78,adj_Monitor16_ch16,23.401960784313726,67422,F,1
80,adj_Monitor16_ch17,21.318181818181817,67422,F,1
82,adj_Monitor16_ch18,22.870588235294118,67422,F,1
84,adj_Monitor16_ch19,41.25373134328358,67422,F,1
86,adj_Monitor16_ch2,24.535211267605632,67422,F,1
88,adj_Monitor16_ch20,59.770833333333336,67422,F,1
90,adj_Monitor16_ch21,33.54666666666667,67422,F,1
92,adj_Monitor16_ch22,26.64864864864865,67422,F,1
94,adj_Monitor16_ch23,31.797101449275363,67422,F,1
96,adj_Monitor16_ch24,18.80263157894737,67422,F,1
98,adj_Monitor16_ch25,54.422222222222224,67422,F,1
100,adj_Monitor16_ch26,22.313432835820894,67422,F,1
102,adj_Monitor16_ch27,34.45333333333333,67422,F,1
104,adj_Monitor16_ch28,19.395604395604394,67422,F,1
106,adj_Monitor16_ch29,26.333333333333332,67422,F,1
108,adj_Monitor16_ch3,26.22222222222222,67422,F,1
110,adj_Monitor16_ch30,33.75609756097561,67422,F,1
112,adj_Monitor16_ch31,28.641025641025642,67422,F,1
114,adj_Monitor16_ch32,26.11842105263158,67422,F,1
116,adj_Monitor16_ch4,29.41860465116279,67422,F,1
118,adj_Monitor16_ch5,30.5,67422,F,1
120,adj_Monitor16_ch6,40.42372881355932,67422,F,1
122,adj_Monitor16_ch7,28.86764705882353,67422,F,1
124,adj_Monitor16_ch8,78.21052631578948,67422,F,1
126,adj_Monitor16_ch9,35.829268292682926,67422,F,1
128,adj_Monitor17_ch1,91.4390243902439,82983,M,1
130,adj_Monitor17_ch10,26.52173913043478,82983,M,1
132,adj_Monitor17_ch11,68.1304347826087,82983,M,1
134,adj_Monitor17_ch12,84.90243902439025,82983,M,1
136,adj_Monitor17_ch13,42.5,82983,M,1
138,adj_Monitor17_ch14,82.1219512195122,82983,M,1
140,adj_Monitor17_ch15,141.24137931034483,82983,M,1
142,adj_Monitor17_ch16,50.868852459016395,82983,M,1
144,adj_Monitor17_ch17,27.563218390804597,82983,M,1
146,adj_Monitor17_ch18,149.34782608695653,82983,M,1
148,adj_Monitor17_ch19,26.109756097560975,82983,M,1
150,adj_Monitor17_ch2,41.96610169491525,82983,M,1
152,adj_Monitor17_ch21,61.78181818181818,82983,M,1
154,adj_Monitor17_ch22,37.84090909090909,82983,M,1
156,adj_Monitor17_ch23,74.36363636363636,82983,M,1
158,adj_Monitor17_ch24,32.23287671232877,82983,M,1
160,adj_Monitor17_ch25,20.483516483516482,82983,M,1
162,adj_Monitor17_ch26,52.410714285714285,82983,M,1
164,adj_Monitor17_ch27,53.5,82983,M,1
166,adj_Monitor17_ch28,55.81818181818182,82983,M,1
168,adj_Monitor17_ch29,71.64102564102564,82983,M,1
170,adj_Monitor17_ch3,47.0,82983,M,1
172,adj_Monitor17_ch30,47.471698113207545,82983,M,1
174,adj_Monitor17_ch31,26.34065934065934,82983,M,1
176,adj_Monitor17_ch32,27.116504854368934,82983,M,1
178,adj_Monitor17_ch4,30.0375,82983,M,1
180,adj_Monitor17_ch5,40.768115942028984,82983,M,1
182,adj_Monitor17_ch6,51.04761904761905,82983,M,1
184,adj_Monitor17_ch7,41.79661016949152,82983,M,1
186,adj_Monitor17_ch8,72.77272727272727,82983,M,1
188,adj_Monitor17_ch9,67.73913043478261,82983,M,1
190,adj_Monitor18_ch1,43.26027397260274,80387,M,1
192,adj_Monitor18_ch10,44.67741935483871,80387,M,1
194,adj_Monitor18_ch11,53.32911392405063,80387,M,1
196,adj_Monitor18_ch12,27.71951219512195,80387,M,1
198,adj_Monitor18_ch13,36.647887323943664,80387,M,1
200,adj_Monitor18_ch14,45.74285714285714,80387,M,1
202,adj_Monitor18_ch15,61.72,80387,M,1
