,Channel,Bout_Count,No,Sex,Rep
142553,adj_Monitor6_ch3,1.1666666666666667,53328,F,1
142701,adj_Monitor6_ch30,2.5,53328,F,1
142875,adj_Monitor6_ch31,10.166666666666666,53328,F,1
143137,adj_Monitor6_ch32,0.3333333333333333,53328,F,1
143315,adj_Monitor6_ch4,7.0,53328,F,1
143679,adj_Monitor6_ch5,2.8333333333333335,53328,F,1
143919,adj_Monitor6_ch6,5.833333333333333,53328,F,1
144143,adj_Monitor6_ch7,3.3333333333333335,53328,F,1
144321,adj_Monitor6_ch8,1.1666666666666667,53328,F,1
144575,adj_Monitor6_ch9,1.3333333333333333,53328,F,1
144733,adj_Monitor72_ch1,1.6666666666666667,66945,F,1
145009,adj_Monitor72_ch10,8.833333333333334,66945,F,1
145269,adj_Monitor72_ch11,9.666666666666666,66945,F,1
145601,adj_Monitor72_ch12,2.5,66945,F,1
145821,adj_Monitor72_ch13,6.333333333333333,66945,F,1
146079,adj_Monitor72_ch14,4.166666666666667,66945,F,1
146351,adj_Monitor72_ch15,6.833333333333333,66945,F,1
146647,adj_Monitor72_ch16,1.0,66945,F,1
146817,adj_Monitor72_ch17,4.333333333333333,66945,F,1
146983,adj_Monitor72_ch18,2.5,66945,F,1
147179,adj_Monitor72_ch19,5.5,66945,F,1
147437,adj_Monitor72_ch2,5.166666666666667,66945,F,1
147745,adj_Monitor72_ch20,3.8333333333333335,66945,F,1
147987,adj_Monitor72_ch21,2.5,66945,F,1
148257,adj_Monitor72_ch22,1.3333333333333333,66945,F,1
148456,adj_Monitor72_ch23,2.8333333333333335,66945,F,1
148649,adj_Monitor72_ch24,4.833333333333333,66945,F,1
148881,adj_Monitor72_ch25,1.6666666666666667,66945,F,1
149079,adj_Monitor72_ch26,1.1666666666666667,66945,F,1
149361,adj_Monitor72_ch27,,66945,F,1
149491,adj_Monitor72_ch28,3.1666666666666665,66945,F,1
149679,adj_Monitor72_ch29,3.8333333333333335,66945,F,1
149939,adj_Monitor72_ch3,7.5,66945,F,1
150279,adj_Monitor72_ch30,3.8333333333333335,66945,F,1
150497,adj_Monitor72_ch31,3.6666666666666665,66945,F,1
150777,adj_Monitor72_ch32,1.6666666666666667,66945,F,1
150955,adj_Monitor72_ch4,2.3333333333333335,66945,F,1
151107,adj_Monitor72_ch5,8.0,66945,F,1
151443,adj_Monitor72_ch6,4.333333333333333,66945,F,1
151665,adj_Monitor72_ch7,2.8333333333333335,66945,F,1
151835,adj_Monitor72_ch8,2.3333333333333335,66945,F,1
152089,adj_Monitor72_ch9,2.0,66945,F,1
152273,adj_Monitor73_ch1,2.3333333333333335,57380,F,1
152449,adj_Monitor73_ch10,1.8333333333333333,57380,F,1
152649,adj_Monitor73_ch11,4.0,57380,F,1
152917,adj_Monitor73_ch12,5.666666666666667,57380,F,1
153209,adj_Monitor73_ch13,1.3333333333333333,57380,F,1
153335,adj_Monitor73_ch14,2.5,57380,F,1
153509,adj_Monitor73_ch15,6.5,57380,F,1
153791,adj_Monitor73_ch16,7.166666666666667,57380,F,1
154015,adj_Monitor73_ch17,3.1666666666666665,57380,F,1
154309,adj_Monitor73_ch18,4.833333333333333,57380,F,1
154542,adj_Monitor73_ch19,2.0,57380,F,1
154733,adj_Monitor73_ch2,5.333333333333333,57380,F,1
154989,adj_Monitor73_ch20,3.6666666666666665,57380,F,1
155141,adj_Monitor73_ch21,6.333333333333333,57380,F,1
155399,adj_Monitor73_ch22,4.0,57380,F,1
155626,adj_Monitor73_ch23,1.5,57380,F,1
155917,adj_Monitor73_ch24,1.8333333333333333,57380,F,1
156161,adj_Monitor73_ch25,2.3333333333333335,57380,F,1
156363,adj_Monitor73_ch26,1.8333333333333333,57380,F,1
156521,adj_Monitor73_ch27,1.8333333333333333,57380,F,1
156803,adj_Monitor73_ch28,0.8333333333333334,57380,F,1
156925,adj_Monitor73_ch29,3.1666666666666665,57380,F,1
157213,adj_Monitor73_ch3,3.1666666666666665,57380,F,1
157415,adj_Monitor73_ch30,3.6666666666666665,57380,F,1
157827,adj_Monitor73_ch31,4.833333333333333,57380,F,1
158037,adj_Monitor73_ch32,2.5,57380,F,1
158273,adj_Monitor73_ch4,0.5,57380,F,1
158425,adj_Monitor73_ch5,0.3333333333333333,57380,F,1
158555,adj_Monitor73_ch6,5.333333333333333,57380,F,1
158787,adj_Monitor73_ch7,2.6666666666666665,57380,F,1
158961,adj_Monitor73_ch8,2.3333333333333335,57380,F,1
159153,adj_Monitor73_ch9,1.6666666666666667,57380,F,1
159413,adj_Monitor75_ch1,4.0,55690,M,1
159525,adj_Monitor75_ch10,3.6666666666666665,55690,M,1
159755,adj_Monitor75_ch11,3.8333333333333335,55690,M,1
160023,adj_Monitor75_ch12,1.8333333333333333,55690,M,1
160167,adj_Monitor75_ch14,5.5,55690,M,1
160363,adj_Monitor75_ch15,2.3333333333333335,55690,M,1
160573,adj_Monitor75_ch16,5.833333333333333,55690,M,1
160793,adj_Monitor75_ch17,5.0,55690,M,1
160969,adj_Monitor75_ch18,1.1666666666666667,55690,M,1
161189,adj_Monitor75_ch19,6.166666666666667,55690,M,1
161493,adj_Monitor75_ch2,0.5,55690,M,1
161711,adj_Monitor75_ch20,7.333333333333333,55690,M,1
162041,adj_Monitor75_ch21,13.833333333333334,55690,M,1
162465,adj_Monitor75_ch22,0.6666666666666666,55690,M,1
162633,adj_Monitor75_ch24,2.0,55690,M,1
162863,adj_Monitor75_ch25,6.833333333333333,55690,M,1
